,Unnamed: 0,LURN_SAK,INCIDENT_DATE,CATEGORY,STAT,ADDRESS,LONGITUDE,LATITUDE,PART_CATEGORY,timestamp,hour,month,weekday
13515,1600,19852326,03/06/2022 09:31:00 PM,LARCENY THEFT,89,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.344,34.09,1,2022-03-06 21:31:00,21,3,6
13516,1615,19807979,01/16/2022 05:07:30 PM,LARCENY THEFT,85,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA 90046",-118.344,34.09,1,2022-01-16 17:07:30,17,1,6
13517,1616,19834852,02/13/2022 12:24:00 AM,LARCENY THEFT,85,"8300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.372,34.09,1,2022-02-13 00:24:00,0,2,6
13518,1660,19868382,03/25/2022 11:00:00 PM,NON-AGGRAVATED ASSAULTS,144,"1100 N HAYWORTH AVE, WEST HOLLYWOOD, CA",-118.363,34.091,2,2022-03-25 23:00:00,23,3,4
13519,1721,19826847,02/01/2022 12:00:00 AM,BURGLARY,77,"1100 CRESCENT HEIGHTS BLVD, WEST HOLLYWOOD, CA 90046",-118.365,34.091,1,2022-02-01 00:00:00,0,2,1
13520,1815,19905776,05/08/2022 01:00:00 AM,ROBBERY,42,"8800 SUNSET BLVD, WEST HOLLYWOOD, CA",-118.383,34.09,1,2022-05-08 01:00:00,1,5,6
13521,1882,20019369,09/09/2022 12:00:00 AM,NON-AGGRAVATED ASSAULTS,146,"700 WEST KNOLL DR, WEST HOLLYWOOD, CA",-118.377,34.084,2,2022-09-09 00:00:00,0,9,4
13522,1888,20021432,09/11/2022 01:26:00 AM,VANDALISM,261,"900 HANCOCK AVE, WEST HOLLYWOOD, CA 90069",-118.381,34.087,2,2022-09-11 01:26:00,1,9,6
13523,1952,19944882,06/20/2022 05:00:00 PM,NON-AGGRAVATED ASSAULTS,144,"8600 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.379,34.087,2,2022-06-20 17:00:00,17,6,0
13524,1954,19897804,04/29/2022 02:00:00 AM,NON-AGGRAVATED ASSAULTS,144,"8900 SANTA MONICA BLVD, WEST HOLLYWOOD, CA 90069",-118.384,34.084,2,2022-04-29 02:00:00,2,4,4
13525,2006,19828738,02/05/2022 12:45:00 AM,LARCENY THEFT,81,"8900 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.384,34.084,1,2022-02-05 00:45:00,0,2,5
13526,2095,19924099,05/28/2022 11:00:00 PM,VANDALISM,261,"8500 MELROSE AVE, WEST HOLLYWOOD, CA 90069",-118.379,34.082,2,2022-05-28 23:00:00,23,5,5
13527,2121,20016966,09/06/2022 04:35:00 PM,LARCENY THEFT,383,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA 90046",-118.344,34.09,1,2022-09-06 16:35:00,16,9,1
