,LURN_SAK,INCIDENT_DATE,CATEGORY,STAT,ADDRESS,LONGITUDE,LATITUDE,PART_CATEGORY
99369,19228003,03/25/2020 01:02:00 PM,MISDEMEANORS MISCELLANEOUS,391,"600 SAN VICENTE BLVD, WEST HOLLYWOOD, CA  90069",-118.383,34.081,2
99373,19219705,03/14/2020 02:21:00 AM,DRUNK / ALCOHOL / DRUGS,201,"7900 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.363,34.09,2
99375,19214340,03/08/2020 07:52:00 PM,DRUNK / ALCOHOL / DRUGS,201,"600 LA PEER AVE, WEST HOLLYWOOD, CA",-118.386,34.081,2
99376,19183874,02/05/2020 08:30:00 PM,MISDEMEANORS MISCELLANEOUS,399,"FAIRFAX AVE AND ROMAINE ST, WEST HOLLYWOOD, CA  90069",-118.361,34.088,2
99377,19183218,02/05/2020 11:13:00 AM,NARCOTICS,185,"SWEETZER AVE AND ROMAINE ST, WEST HOLLYWOOD, CA",-118.37,34.088,2
99378,19174018,01/26/2020 10:40:00 PM,NARCOTICS,185,"1400 N DETROIT ST, WEST HOLLYWOOD, CA",-118.345,34.096,2
99380,19192982,02/15/2020 01:15:00 AM,MISDEMEANORS MISCELLANEOUS,399,"7600 NORTON AVE, WEST HOLLYWOOD, CA",-118.355,34.091,2
99428,19286789,05/30/2020 11:59:00 PM,VANDALISM,263,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.344,34.09,2
99430,19287232,05/31/2020 12:52:30 AM,LARCENY THEFT,85,"600 N ORLANDO AVE, WEST HOLLYWOOD, CA  90048",-118.373,34.082,1
99528,19462025,12/12/2020 10:00:00 AM,FORGERY,103,"HUNTLEY DR AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.38,34.087,2
99563,19233706,04/02/2020 09:00:00 PM,VANDALISM,263,"8200 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.367,34.09,2
100041,19431140,11/24/2020 08:15:00 PM,LARCENY THEFT,340,"600 N ALMONT DR, WEST HOLLYWOOD, CA",-118.387,34.081,1
100198,19252101,04/28/2020 08:00:00 PM,LARCENY THEFT,386,"500 N ALFRED ST, WEST HOLLYWOOD, CA",-118.375,34.08,1
100206,19192580,02/09/2020 02:00:00 AM,LARCENY THEFT,387,"8900 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.385,34.083,1
100208,19202873,02/25/2020 09:00:00 PM,MISDEMEANORS MISCELLANEOUS,392,"SUNSET BLVD AND SUNSET PLZ, WEST HOLLYWOOD, CA",-118.344,34.097,2
100306,19373828,09/24/2020 03:54:00 PM,BURGLARY,74,"1400 CRESCENT HEIGHTS BLVD, WEST HOLLYWOOD, CA  90046",-118.365,34.096,1
100307,19369271,09/15/2020 10:00:00 PM,LARCENY THEFT,383,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.344,34.09,1
100327,19156729,01/08/2020 11:17:00 AM,WEAPON LAWS,151,"1100 LA BREA AVE, WEST HOLLYWOOD, CA",-118.344,34.091,2
100357,19459667,12/11/2020 04:45:00 AM,BURGLARY,78,"7900 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.362,34.09,1
100594,19296815,06/24/2020 08:45:00 AM,DRUNK / ALCOHOL / DRUGS,201,"8400 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.374,34.09,2
100644,19236195,04/07/2020 02:15:00 AM,VANDALISM,261,"1100 N CURSON AVE, WEST HOLLYWOOD, CA",-118.355,34.091,2
100732,19283218,05/30/2020 07:30:00 PM,BURGLARY,71,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.344,34.09,1
100733,19277200,05/30/2020 11:50:00 PM,BURGLARY,71,"7400 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.351,34.09,1
100734,19277067,05/30/2020 11:50:00 PM,MISDEMEANORS MISCELLANEOUS,399,"MELROSE AVE AND WESTMOUNT DR, WEST HOLLYWOOD, CA  90069",-118.378,34.081,2
100735,19278422,06/01/2020 09:22:00 PM,NARCOTICS,185,"8800 BEVERLY BLVD, WEST HOLLYWOOD, CA  90069",-118.387,34.077,2
100851,19240004,04/09/2020 11:57:00 AM,LARCENY THEFT,389,"1200 HAVENHURST DR, WEST HOLLYWOOD, CA  90046",-118.367,34.092,1
101253,19272146,05/25/2020 01:40:00 AM,VANDALISM,263,"1000 N LA CIENEGA BLVD, WEST HOLLYWOOD, CA  90069",-118.376,34.09,2
101326,19277333,05/31/2020 02:15:00 PM,NON-AGGRAVATED ASSAULTS,144,"LA CIENEGA BLVD AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.376,34.089,2
101328,19282753,06/06/2020 11:18:00 PM,GRAND THEFT AUTO,91,"7600 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.355,34.09,1
101692,19237738,04/08/2020 01:00:00 AM,FORCIBLE RAPE,25,"8400 SUNSET BLVD, WEST HOLLYWOOD, CA  90069",-118.372,34.094,1
101850,19455009,12/15/2020 01:07:30 PM,LARCENY THEFT,340,"8900 BEVERLY BLVD, WEST HOLLYWOOD, CA  90069",-118.387,34.077,1
