,LURN_SAK,INCIDENT_DATE,CATEGORY,STAT,ADDRESS,LONGITUDE,LATITUDE,PART_CATEGORY
16,18615198,06/19/2018 03:00:00 AM,GRAND THEFT AUTO,91,"1300 HARPER AVE, WEST HOLLYWOOD, CA",-118.368,34.095,1
101,18542039,04/08/2018 09:35:00 PM,AGGRAVATED ASSAULT,54,"600 ROBERTSON BLVD, WEST HOLLYWOOD, CA  90069",-118.385,34.08,1
185,18700869,09/18/2018 10:00:00 AM,VANDALISM,263,"7300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.351,34.092,2
186,18695878,09/12/2018 06:30:00 AM,LARCENY THEFT,386,"1000 CROFT AVE, WEST HOLLYWOOD, CA  90046",-118.374,34.089,1
187,18700046,09/17/2018 11:00:00 AM,LARCENY THEFT,389,"500 N LA CIENEGA BLVD, WEST HOLLYWOOD, CA  90048",-118.376,34.08,1
188,18702055,09/19/2018 10:30:00 AM,NON-AGGRAVATED ASSAULTS,144,"8600 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.379,34.087,2
222,18495178,02/20/2018 01:08:00 AM,FELONIES MISCELLANEOUS,339,"7300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.351,34.092,2
253,18495148,02/19/2018 10:30:00 PM,NARCOTICS,188,"SANTA MONICA BLVD AND WEST KNOLL DR, WEST HOLLYWOOD, CA",-118.377,34.088,2
336,18757235,11/15/2018 05:30:00 PM,LARCENY THEFT,340,"8400 MELROSE AVE, WEST HOLLYWOOD, CA",-118.374,34.082,1
347,18783479,12/16/2018 04:00:00 AM,DRUNK / ALCOHOL / DRUGS,201,"SAN VICENTE BLVD AND RANGELY AVE, WEST HOLLYWOOD, CA",-118.382,34.08,2
351,18536166,04/02/2018 03:30:00 PM,NARCOTICS,185,"600 ORLANDO AVE, WEST HOLLYWOOD, CA  90048",-118.373,34.082,2
359,18484859,02/10/2018 04:00:00 AM,NARCOTICS,185,"8100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.366,34.09,2
384,18606814,06/10/2018 09:00:00 PM,NON-AGGRAVATED ASSAULTS,144,"600 SAN VICENTE BLVD, WEST HOLLYWOOD, CA  90069",-118.383,34.081,2
479,18625790,06/30/2018 12:45:00 AM,LARCENY THEFT,340,"1000 FAIRFAX AVE, WEST HOLLYWOOD, CA  90046",-118.361,34.089,1
497,18648074,07/24/2018 11:00:00 AM,NON-AGGRAVATED ASSAULTS,146,"8500 SUNSET BLVD, WEST HOLLYWOOD, CA",-118.376,34.094,2
499,18527260,03/23/2018 06:17:44 PM,NARCOTICS,185,"CURSON AVE AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.355,34.09,2
501,18530188,03/27/2018 01:00:00 PM,NARCOTICS,185,"1000 FULLER AVE, WEST HOLLYWOOD, CA",-118.35,34.09,2
540,18736567,10/24/2018 09:45:00 PM,NARCOTICS,181,"CYNTHIA ST AND SAN VICENTE BLVD, WEST HOLLYWOOD, CA  90069",-118.385,34.087,2
726,18767257,11/28/2018 01:16:00 PM,NARCOTICS,181,"FULLER AVE AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.35,34.09,2
736,18749986,11/07/2018 11:40:00 PM,NARCOTICS,181,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.344,34.09,2
737,18620008,06/24/2018 09:55:00 AM,NARCOTICS,185,"7300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.351,34.092,2
740,18598709,06/03/2018 03:39:00 AM,NARCOTICS,185,"1000 HAVENHURST DR, WEST HOLLYWOOD, CA",-118.367,34.089,2
742,18668923,08/15/2018 11:45:00 PM,NARCOTICS,181,"7700 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.356,34.09,2
780,18527259,03/23/2018 06:15:00 PM,NARCOTICS,184,"1100 DETROIT ST, WEST HOLLYWOOD, CA  90046",-118.345,34.092,2
822,18614830,06/19/2018 10:36:02 AM,FELONIES MISCELLANEOUS,330,"8700 SUNSET BLVD, WEST HOLLYWOOD, CA  90069",-118.381,34.091,2
906,18504495,03/01/2018 09:45:12 AM,NARCOTICS,185,"7700 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.357,34.09,2
907,18506292,03/03/2018 06:30:00 AM,NARCOTICS,186,"700 N SAN VICENTE BLVD, WEST HOLLYWOOD, CA",-118.383,34.084,2
908,18508503,03/05/2018 11:51:00 PM,NARCOTICS,185,"1000 SIERRA BONITA AVE, WEST HOLLYWOOD, CA  90046",-118.354,34.09,2
909,18509058,03/06/2018 01:39:00 PM,WEAPON LAWS,151,"7300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.351,34.09,2
910,18509698,03/07/2018 07:00:00 AM,NARCOTICS,186,"700 N SAN VICENTE BLVD, WEST HOLLYWOOD, CA",-118.383,34.084,2
911,18513063,03/10/2018 04:11:00 PM,NARCOTICS,184,"9000 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.388,34.082,2
913,18515566,03/13/2018 11:03:00 AM,NARCOTICS,184,"1000 SIERRA BONITA AVE, WEST HOLLYWOOD, CA  90038",-118.354,34.089,2
915,18518646,03/14/2018 08:10:00 PM,FELONIES MISCELLANEOUS,339,"700 SAN VICENTE BLVD, WEST HOLLYWOOD, CA  90069",-118.383,34.084,2
936,18672519,08/19/2018 08:54:00 PM,NON-AGGRAVATED ASSAULTS,144,"MELROSE AVE AND LA CIENEGA BLVD, WEST HOLLYWOOD, CA",-118.376,34.081,2
939,18580745,05/16/2018 11:30:00 AM,LARCENY THEFT,383,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.344,34.09,1
940,18610617,06/14/2018 03:00:00 PM,NON-AGGRAVATED ASSAULTS,145,"1000 ORANGE GROVE AVE, WEST HOLLYWOOD, CA",-118.36,34.089,2
950,18612107,06/15/2018 10:00:00 PM,NARCOTICS,185,"GENESEE AVE AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.358,34.09,2
954,18583664,05/18/2018 09:30:06 PM,NARCOTICS,185,"8400 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.375,34.09,2
955,18569470,05/04/2018 09:56:00 PM,NARCOTICS,185,"POINSETTIA PL AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.347,34.09,2
959,18603492,06/07/2018 05:43:00 PM,NARCOTICS,181,"FOUNTAIN AVE AND HARPER AVE, WEST HOLLYWOOD, CA",-118.368,34.094,2
961,18606924,06/11/2018 02:35:00 PM,NARCOTICS,183,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.344,34.09,2
962,18607572,06/12/2018 09:45:00 AM,NARCOTICS,185,"1000 SPAULDING AVE, WEST HOLLYWOOD, CA",-118.357,34.089,2
983,18712510,09/30/2018 02:25:00 PM,NARCOTICS,183,"9000 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.386,34.082,2
1001,18600874,06/05/2018 01:30:00 PM,NON-AGGRAVATED ASSAULTS,144,"600 N SAN VICENTE BLVD, WEST HOLLYWOOD, CA  90069",-118.383,34.082,2
1023,18600043,06/04/2018 01:15:00 PM,BURGLARY,64,"1000 N OGDEN DR, WEST HOLLYWOOD, CA",-118.359,34.089,1
1068,18739351,10/27/2018 09:31:00 PM,AGGRAVATED ASSAULT,53,"SPAULDING AVE AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.357,34.09,1
1069,18739454,10/28/2018 01:45:00 AM,AGGRAVATED ASSAULT,50,"8800 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.383,34.085,1
1070,18752841,11/11/2018 04:00:00 AM,LARCENY THEFT,340,"1100 KINGS RD, WEST HOLLYWOOD, CA",-118.373,34.091,1
1071,18679305,08/19/2018 09:00:00 PM,LARCENY THEFT,87,"800 PALM AVE, WEST HOLLYWOOD, CA",-118.382,34.086,1
1072,18455106,06/18/2014 12:00:00 PM,FORGERY,104,"9200 SUNSET BLVD, WEST HOLLYWOOD, CA  90069",-118.392,34.09,2
1074,18751020,11/08/2018 10:12:30 PM,LARCENY THEFT,340,"DOHENY DR AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.389,34.081,1
1076,18752862,11/11/2018 05:00:00 AM,LARCENY THEFT,340,"1100 KINGS RD, WEST HOLLYWOOD, CA",-118.373,34.091,1
1080,18453952,01/11/2018 01:30:00 AM,LARCENY THEFT,384,"7300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.349,34.09,1
1107,18641258,07/12/2018 01:00:00 PM,LARCENY THEFT,383,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.344,34.09,1
1120,18502724,02/27/2018 09:45:00 AM,LARCENY THEFT,83,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.344,34.09,1
1149,18716809,10/04/2018 02:00:00 PM,FORGERY,103,"1100 N CRESCENT HEIGHTS BLVD, WEST HOLLYWOOD, CA",-118.365,34.091,2
1154,18616806,06/21/2018 09:00:00 AM,NARCOTICS,184,"1000 N STANLEY AVE, WEST HOLLYWOOD, CA  90046",-118.356,34.089,2
1157,18496396,02/20/2018 11:15:00 PM,MISDEMEANORS MISCELLANEOUS,391,"900 LA JOLLA DR, WEST HOLLYWOOD, CA",-118.368,34.087,2
1230,18489361,02/14/2018 08:14:00 PM,NARCOTICS,185,"SANTA MONICA BLVD AND POINSETTIA PL, WEST HOLLYWOOD, CA",-118.347,34.09,2
1231,18504578,03/01/2018 10:43:00 AM,MISDEMEANORS MISCELLANEOUS,399,"900 MARTEL AVE, WEST HOLLYWOOD, CA",-118.351,34.087,2
1232,18505164,03/01/2018 08:00:00 PM,GRAND THEFT AUTO,91,"FORMOSA AVE AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.346,34.09,1
1332,18608694,06/13/2018 01:48:00 AM,NARCOTICS,185,"FAIRFAX AVE AND WILLOUGHBY AVE, WEST HOLLYWOOD, CA",-118.361,34.087,2
1333,18609079,06/13/2018 09:56:00 AM,WEAPON LAWS,151,"FAIRFAX AVE AND ROMAINE ST, WEST HOLLYWOOD, CA",-118.361,34.088,2
1335,18731128,10/19/2018 12:52:30 AM,VANDALISM,261,"LA CIENEGA BLVD AND ROSEWOOD AVE, WEST HOLLYWOOD, CA  90069",-118.376,34.08,2
1338,18555926,04/21/2018 09:30:00 AM,NARCOTICS,181,"8400 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.376,34.089,2
1339,18655860,08/02/2018 06:30:00 AM,NARCOTICS,181,"OGDEN DR AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.359,34.09,2
1351,18625648,06/29/2018 10:17:00 PM,NARCOTICS,185,"7700 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.358,34.09,2
1352,18627183,07/02/2018 01:30:00 AM,NARCOTICS,185,"8200 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.367,34.09,2
1353,18627302,07/02/2018 07:55:00 AM,NARCOTICS,181,"7300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.349,34.09,2
1354,18612905,06/16/2018 11:15:00 PM,NARCOTICS,185,"1100 LA BREA AVE, WEST HOLLYWOOD, CA",-118.344,34.092,2
1355,18614545,06/19/2018 01:10:00 AM,NARCOTICS,183,"1000 SWEETZER AVE, WEST HOLLYWOOD, CA  90046",-118.37,34.088,2
1356,18615685,06/20/2018 06:00:00 AM,NARCOTICS,185,"7200 FOUNTAIN AVE, WEST HOLLYWOOD, CA  90046",-118.347,34.094,2
1357,18585135,05/20/2018 11:10:00 PM,NARCOTICS,185,"1200 FULLER AVE, WEST HOLLYWOOD, CA  90046",-118.349,34.092,2
1360,18588576,05/24/2018 05:55:00 AM,NARCOTICS,185,"8200 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.369,34.09,2
1361,18591958,05/27/2018 02:10:00 AM,NARCOTICS,181,"8900 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.384,34.084,2
1362,18592472,05/27/2018 10:35:00 PM,NARCOTICS,185,"LA BREA AND FOUNTAIN AVE, WEST HOLLYWOOD, CA",-118.344,34.094,2
1363,18592732,05/28/2018 09:59:00 AM,NARCOTICS,185,"POINSETTIA AVE AND ROMAINE ST, WEST HOLLYWOOD, CA",-118.348,34.088,2
1364,18595434,05/30/2018 03:50:00 PM,NARCOTICS,185,"7100 ROMAINE ST, WEST HOLLYWOOD, CA  90046",-118.345,34.088,2
1365,18597893,06/01/2018 11:12:00 PM,NARCOTICS,185,"7300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.351,34.092,2
1366,18480773,02/07/2018 10:00:00 AM,NARCOTICS,186,"700 N SAN VICENTE BLVD, WEST HOLLYWOOD, CA  90069",-118.383,34.084,2
1369,18538590,04/04/2018 11:20:00 PM,NARCOTICS,185,"SANTA MONICA BLVD AND ORANGE GROVE AVE, WEST HOLLYWOOD, CA  90046",-118.36,34.09,2
1370,18538827,04/05/2018 08:42:00 AM,NARCOTICS,185,"900 LARRABEE ST, WEST HOLLYWOOD, CA",-118.384,34.088,2
1371,18539736,04/06/2018 05:10:00 AM,NARCOTICS,181,"CURSON AVE AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.355,34.09,2
1380,18627708,07/02/2018 04:03:00 PM,NARCOTICS,185,"7300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.351,34.092,2
1516,18526388,03/22/2018 07:00:00 PM,GRAND THEFT AUTO,95,"7300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.349,34.09,1
1519,18632401,07/07/2018 10:38:00 PM,NARCOTICS,185,"7900 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.363,34.09,2
1520,18637931,07/13/2018 02:09:00 PM,ROBBERY,46,"8600 BEVERLY BLVD, WEST HOLLYWOOD, CA  90048",-118.38,34.077,1
1521,18637884,07/13/2018 02:54:37 PM,ROBBERY,46,"8900 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.385,34.084,1
1571,18534826,03/31/2018 10:05:30 PM,NARCOTICS,185,"1000 GARNDER ST, WEST HOLLYWOOD, CA",-118.353,34.089,2
1597,18541329,04/07/2018 09:42:00 PM,NARCOTICS,185,"8200 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.368,34.09,2
1598,18541383,04/07/2018 11:25:00 PM,NARCOTICS,185,"LA JOLLA AVE AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.368,34.09,2
1599,18544287,04/11/2018 02:40:00 AM,NARCOTICS,185,"SWEETZER AVE AND ROMAINE ST, WEST HOLLYWOOD, CA  90069",-118.37,34.088,2
1600,18547386,04/12/2018 05:00:00 PM,NARCOTICS,185,"7300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.351,34.092,2
1601,18551172,04/16/2018 11:05:00 PM,NARCOTICS,185,"7300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.351,34.092,2
1649,18763445,11/23/2018 11:29:00 PM,NON-AGGRAVATED ASSAULTS,145,"400 N LA BREA AVE, LOS ANGELES, CA  90036",-118.344,34.079,2
1650,18729849,10/17/2018 07:50:00 PM,NARCOTICS,185,"7900 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.363,34.09,2
1661,18679049,08/25/2018 06:00:00 AM,LARCENY THEFT,340,"900 N CURSON AVE, WEST HOLLYWOOD, CA  90046",-118.355,34.088,1
1662,18675543,08/22/2018 10:10:00 AM,LARCENY THEFT,387,"7900 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.363,34.09,1
1707,18465002,01/22/2018 11:00:00 PM,LARCENY THEFT,84,"1000 VISTA ST, WEST HOLLYWOOD, CA  90046",-118.352,34.089,1
1729,18777572,12/09/2018 08:55:00 PM,NARCOTICS,185,"1000 HARPER AVE, WEST HOLLYWOOD, CA  90046",-118.369,34.089,2
1731,18758507,11/17/2018 06:10:00 PM,VANDALISM,263,"8800 BEVERLY BLVD, WEST HOLLYWOOD, CA",-118.384,34.077,2
1748,18653621,07/30/2018 09:47:30 PM,LARCENY THEFT,340,"7600 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.355,34.09,1
1749,18653602,07/30/2018 10:05:00 PM,LARCENY THEFT,340,"1100 CRESCENT HEIGHTS BLVD, WEST HOLLYWOOD, CA",-118.366,34.091,1
1752,18664492,08/11/2018 02:00:00 AM,AGGRAVATED ASSAULT,54,"9200 SUNSET BLVD, WEST HOLLYWOOD, CA  90069",-118.392,34.09,1
1812,18689798,09/06/2018 12:00:00 AM,LARCENY THEFT,84,"500 NORWICH DR, WEST HOLLYWOOD, CA  90048",-118.381,34.08,1
1845,18602686,06/07/2018 01:29:00 AM,NON-AGGRAVATED ASSAULTS,144,"8900 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.385,34.083,2
1847,18603696,06/07/2018 08:15:00 PM,LARCENY THEFT,340,"FOUNTAIN AVE AND ORANGE GROVE AVE, WEST HOLLYWOOD, CA  90069",-118.36,34.094,1
1875,18779975,12/12/2018 11:25:00 AM,NARCOTICS,181,"1000 VISTA ST, WEST HOLLYWOOD, CA",-118.351,34.089,2
1876,18788584,12/21/2018 02:20:00 PM,NARCOTICS,181,"8400 SUNSET BLVD, WEST HOLLYWOOD, CA  90069",-118.376,34.094,2
1880,18577650,05/13/2018 09:25:00 AM,NARCOTICS,185,"9000 RANGELY AVE, WEST HOLLYWOOD, CA  90048",-118.388,34.08,2
1881,18577967,05/13/2018 07:40:00 PM,NARCOTICS,185,"1300 HAVENHURST DR, WEST HOLLYWOOD, CA  90069",-118.367,34.095,2
1882,18579277,05/15/2018 09:30:00 AM,NARCOTICS,185,"1200 FULLER AVE, WEST HOLLYWOOD, CA",-118.35,34.093,2
1883,18580216,05/15/2018 08:40:00 PM,NARCOTICS,185,"600 N SAN VICENTE BLVD, WEST HOLLYWOOD, CA",-118.383,34.081,2
1884,18568433,05/03/2018 08:47:00 PM,NARCOTICS,185,"1200 LA BREA AVE, WEST HOLLYWOOD, CA  90046",-118.344,34.093,2
1885,18568649,05/04/2018 04:45:00 AM,NARCOTICS,185,"LEXINGTON AVE AND FORMOSA AVE, WEST HOLLYWOOD, CA  90046",-118.346,34.092,2
1886,18568864,05/04/2018 10:40:00 AM,NARCOTICS,184,"7300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.351,34.092,2
1887,18556329,04/21/2018 08:00:00 PM,NARCOTICS,185,"7700 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.356,34.09,2
1888,18564725,04/30/2018 11:10:00 AM,NARCOTICS,185,"LA BREA AVE AND LEXINGTON AVE, WEST HOLLYWOOD, CA",-118.344,34.092,2
1896,18630308,07/05/2018 02:07:00 PM,ROBBERY,42,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.344,34.09,1
1988,18625226,06/28/2018 02:15:00 PM,GRAND THEFT AUTO,91,"7600 HAMPTON AVE, WEST HOLLYWOOD, CA",-118.355,34.093,1
1990,18453699,12/21/2017 07:00:00 PM,BURGLARY,78,"9000 W SUNSET BLVD, WEST HOLLYWOOD, CA  90069",-118.387,34.09,1
2010,18515790,03/13/2018 08:04:30 AM,BURGLARY,75,"8100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.366,34.09,1
2048,18654511,07/31/2018 03:42:00 AM,ARSON,279,"8300 FOUNTAIN AVE, WEST HOLLYWOOD, CA  90069",-118.372,34.094,1
2076,18446054,01/03/2018 08:22:00 PM,MISDEMEANORS MISCELLANEOUS,391,"8600 SUNSET BLVD, WEST HOLLYWOOD, CA",-118.38,34.092,2
2098,18716766,10/04/2018 02:23:00 PM,LARCENY THEFT,383,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.344,34.09,1
2104,18715251,10/03/2018 07:15:00 AM,MISDEMEANORS MISCELLANEOUS,391,"1100 N CURSON AVE, WEST HOLLYWOOD, CA",-118.355,34.091,2
2105,18714825,10/02/2018 05:45:00 PM,LARCENY THEFT,383,"1200 LA BREA AVE, WEST HOLLYWOOD, CA",-118.344,34.093,1
2124,18623263,06/27/2018 03:15:00 PM,LARCENY THEFT,340,"300 N ROBERTSON BLVD, WEST HOLLYWOOD, CA  90069",-118.384,34.078,1
2264,18607065,06/10/2018 11:50:00 PM,LARCENY THEFT,81,"600 ROBERTSON BLVD, WEST HOLLYWOOD, CA",-118.385,34.083,1
2417,18735173,10/20/2018 12:15:00 AM,LARCENY THEFT,81,"600 ROBERTSON BLVD, WEST HOLLYWOOD, CA  90069",-118.385,34.083,1
2418,18741455,10/30/2018 09:00:00 AM,NARCOTICS,185,"1100 N LA BREA BLVD, WEST HOLLYWOOD, CA",-118.344,34.091,2
2426,18634079,07/08/2018 09:30:00 PM,BURGLARY,61,"1000 LA JOLLA AVE, WEST HOLLYWOOD, CA",-118.367,34.089,1
2457,18588564,05/24/2018 05:30:00 AM,MISDEMEANORS MISCELLANEOUS,399,"7300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.351,34.092,2
2458,18588562,05/24/2018 05:15:00 AM,MISDEMEANORS MISCELLANEOUS,399,"7300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.351,34.092,2
2459,18588579,05/24/2018 04:45:00 AM,MISDEMEANORS MISCELLANEOUS,399,"600 SAN VICENTE BLVD, WEST HOLLYWOOD, CA  90069",-118.383,34.081,2
2464,18682039,08/29/2018 10:15:00 AM,ROBBERY,47,"7300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.351,34.092,1
2465,18682043,08/28/2018 08:15:00 PM,LARCENY THEFT,340,"800 PALM AVE, WEST HOLLYWOOD, CA",-118.383,34.086,1
2581,18541282,04/07/2018 08:02:00 PM,NARCOTICS,183,"8900 BEVERLY BLVD, WEST HOLLYWOOD, CA",-118.387,34.077,2
2645,18658415,08/04/2018 09:59:00 PM,LARCENY THEFT,383,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.344,34.09,1
2760,18449223,01/06/2018 11:00:00 PM,NON-AGGRAVATED ASSAULTS,144,"9200 SUNSET BLVD, WEST HOLLYWOOD, CA",-118.393,34.09,2
2848,18468542,01/26/2018 03:05:00 AM,ROBBERY,41,"MELROSE AVE AND ROBERTSON BLVD, WEST HOLLYWOOD, CA  90069",-118.385,34.08,1
2859,18566966,05/01/2018 09:30:00 PM,GRAND THEFT AUTO,91,"8600 MELROSE AVE, WEST HOLLYWOOD, CA  90069",-118.382,34.081,1
2863,18496418,02/20/2018 11:36:00 PM,NON-AGGRAVATED ASSAULTS,144,"8900 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.385,34.083,2
2864,18495480,02/20/2018 02:15:00 AM,LARCENY THEFT,84,"1000 N SIERRA BONITA AVE, WEST HOLLYWOOD, CA",-118.354,34.09,1
2865,18497510,02/03/2018 12:30:00 PM,LARCENY THEFT,387,"600 N ROBERTSON BLVD, WEST HOLLYWOOD, CA  90069",-118.385,34.083,1
2900,18661233,08/02/2018 10:22:30 AM,LARCENY THEFT,387,"900 PALM AVE, WEST HOLLYWOOD, CA  90069",-118.382,34.087,1
2951,18634930,07/10/2018 08:00:00 PM,LARCENY THEFT,340,"500 WEST KNOLL DR, WEST HOLLYWOOD, CA",-118.377,34.081,1
3041,18471761,02/05/2017 04:30:30 PM,FELONIES MISCELLANEOUS,330,"600 LA PEER AVE, WEST HOLLYWOOD, CA",-118.386,34.082,2
3046,18792326,12/26/2018 10:40:00 PM,MISDEMEANORS MISCELLANEOUS,391,"8800 SUNSET BLVD, WEST HOLLYWOOD, CA",-118.384,34.09,2
3052,18765012,11/13/2018 03:30:00 PM,LARCENY THEFT,384,"900 SAN VICENTE BLVD, WEST HOLLYWOOD, CA",-118.385,34.089,1
3079,18454185,01/11/2018 07:55:00 AM,GRAND THEFT AUTO,91,"1100 N CURSON AVE, WEST HOLLYWOOD, CA  90046",-118.354,34.091,1
3103,18679097,08/25/2018 08:25:00 PM,LARCENY THEFT,84,"8800 MELROSE AVE, WEST HOLLYWOOD, CA  90069",-118.385,34.08,1
3105,18693789,09/10/2018 09:12:00 PM,LARCENY THEFT,340,"8700 MELROSE AVE, WEST HOLLYWOOD, CA",-118.384,34.08,1
3161,18507813,03/05/2018 08:47:00 AM,LARCENY THEFT,383,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.344,34.09,1
3164,18509155,03/06/2018 03:06:00 PM,DRUNK / ALCOHOL / DRUGS,201,"7700 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.358,34.09,2
3176,18459750,12/18/2017 01:05:00 AM,SEX OFFENSES MISDEMEANORS,139,"8200 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.368,34.09,2
3177,18461774,01/19/2018 12:13:00 PM,LARCENY THEFT,83,"8800 BEVERLY BLVD, WEST HOLLYWOOD, CA  90048",-118.384,34.077,1
3193,18516180,03/13/2018 08:25:00 PM,LARCENY THEFT,340,"8600 MELROSE AVE, WEST HOLLYWOOD, CA",-118.382,34.081,1
3303,18646912,07/23/2018 03:35:00 PM,ROBBERY,32,"1200 N LA BREA AVE, WEST HOLLYWOOD, CA  90038",-118.344,34.093,1
3304,18645014,07/21/2018 11:00:00 AM,ROBBERY,44,"7300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.349,34.09,1
3426,18587997,05/23/2018 02:11:00 PM,LARCENY THEFT,383,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.344,34.09,1
3428,18681151,08/28/2018 02:30:00 PM,VANDALISM,261,"1000 N OGDEN DR, WEST HOLLYWOOD, CA  90046",-118.359,34.09,2
3473,18641540,07/17/2018 05:25:00 PM,NON-AGGRAVATED ASSAULTS,144,"500 LA CIENEGA BLVD, WEST HOLLYWOOD, CA  90069",-118.376,34.081,2
3559,18766954,11/28/2018 12:23:00 AM,BURGLARY,62,"1400 HAYWORTH AVE, WEST HOLLYWOOD, CA  90046",-118.363,34.096,1
3602,18456525,01/12/2018 01:30:00 PM,LARCENY THEFT,387,"1000 DOHENY DR, WEST HOLLYWOOD, CA",-118.39,34.09,1
3620,18570578,05/06/2018 11:05:00 AM,NARCOTICS,185,"HAYWORTH AVE AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.362,34.09,2
3621,18570989,05/07/2018 12:10:00 AM,NARCOTICS,184,"7600 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.356,34.09,2
3679,18751029,11/09/2018 01:03:00 AM,NARCOTICS,185,"CURSON AVE AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.355,34.09,2
3680,18753205,11/12/2018 01:40:00 AM,NARCOTICS,185,"SPAULDING AVE AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.357,34.09,2
3740,18650310,07/27/2018 02:12:00 AM,DRUNK / ALCOHOL / DRUGS,201,"800 HILLDALE AVE, WEST HOLLYWOOD, CA  90069",-118.386,34.085,2
3804,18535597,04/01/2018 11:30:00 PM,AGGRAVATED ASSAULT,52,"8800 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.383,34.085,1
3806,18535951,09/30/2017 01:25:00 AM,LARCENY THEFT,387,"600 LA CIENEGA BLVD, WEST HOLLYWOOD, CA",-118.376,34.082,1
3813,18613397,06/17/2018 01:30:00 AM,VANDALISM,263,"1000 WESTMOUNT DR, WEST HOLLYWOOD, CA",-118.378,34.089,2
